DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
DataHora (GMT),DirVento (oNV ),Precipitacao (mm ),PressaoAtm (mB ),RadSolAcum (MJ/m2 ),TempAr (oC ),UmidRel (% ),VelVento (m/s )
2017-11-07 15:00:00,93,0,990,6.5,33.8,30.4,5.3
2017-11-07 12:00:00,96,0,992.6,3.22,28.9,46.4,6.4
2017-11-07 09:00:00,72,0,991.3,0.18,24.3,72,4.6
2017-11-07 06:00:00,72,0,989.8,0,24.2,75.2,5.5
2017-11-07 03:00:00,66,0,990.6,0,24.8,72,7
2017-11-07 00:00:00,60,0,991.2,0,26.1,62.4,8.8
2017-11-06 21:00:00,60,0,988.4,1.43,32.8,32,4.4
2017-11-06 18:00:00,75,0,991.2,7.15,34.4,27.2,3.8
2017-11-06 15:00:00,75,0,991.2,7.15,34.4,27.2,3.8
2017-11-06 12:00:00,78,0,993.9,3.61,28.5,49.6,5
2017-11-06 09:00:00,72,0,992.7,0.13,23.5,70.4,3.2
2017-11-06 06:00:00,57,0,991.4,0,23.7,78.4,4.7
2017-11-06 03:00:00,60,0,991.9,0,24.8,73.6,5.8
2017-11-06 00:00:00,63,0,992.5,0,26.8,64,7.4
2017-11-05 21:00:00,111,0,989.6,1.44,33,36.8,4.6
2017-11-05 18:00:00,99,0,989.1,6.47,36.5,17.6,5.1
2017-11-05 15:00:00,102,0,992,7.52,33.5,28.8,5
2017-11-05 12:00:00,99,0,994.6,3.79,29.7,41.6,4.8
2017-11-05 09:00:00,81,0,993.4,0.16,24,65.6,5.2
2017-11-05 06:00:00,69,0,991.7,0,24.4,67.2,6.4
2017-11-05 03:00:00,66,0,992.9,0,25.6,72,6.5
2017-11-05 00:00:00,66,0,992.9,0,27.3,52.8,7
2017-11-04 21:00:00,87,0,990.4,1.27,33.7,24,4.8
2017-11-04 18:00:00,93,0,989.9,6.19,35.2,22.4,5.3
2017-11-04 15:00:00,99,0,992.3,6.52,33,30.4,6.3
2017-11-04 12:00:00,108,0,994.4,3.71,29.7,40,6.7
2017-11-04 09:00:00,75,0,993.5,0.16,23.8,67.2,4.6
2017-11-04 06:00:00,66,0,991,0,24.2,70.4,5.1
2017-11-04 03:00:00,66,0,991.9,0,25.3,70.4,6.4
2017-11-04 00:00:00,69,0,992.2,0,27.4,52.8,7.5
2017-11-03 21:00:00,105,0,989.4,1.38,33.9,24,5.8
2017-11-03 18:00:00,114,0,989,6.56,36,22.4,5.5
2017-11-03 15:00:00,108,0,992.1,7,34,27.2,6.3
2017-11-03 12:00:00,102,0,994.7,3.43,28.8,48,6
2017-11-03 09:00:00,75,0,993.6,0.11,25.1,65.6,4.3
2017-11-03 06:00:00,72,0,991.8,0,25,72,5.7
2017-11-03 03:00:00,69,0,992.6,0,25.8,72,6.9
2017-11-03 00:00:00,63,0,993.4,0,27.1,60.8,8
2017-11-02 21:00:00,96,0,990.3,1.34,31.3,44.8,6.4
2017-11-02 18:00:00,99,0,989,5.95,36.6,24,5.2
2017-11-02 15:00:00,96,0,992,6.74,34,32,5.3
2017-11-02 12:00:00,96,0,994.8,3.07,30.4,46.4,5.6
2017-11-02 09:00:00,78,0,993.6,0.18,25.4,70.4,3.9
2017-11-02 06:00:00,72,0,992,0,24.7,75.2,5.5
2017-11-02 03:00:00,69,0,992.8,0,25.1,75.2,7
2017-11-02 00:00:00,60,0,993.1,0,27,57.6,7.4
2017-11-01 21:00:00,81,0,990,1.25,33.5,30.4,3.4
2017-11-01 18:00:00,87,0,989.6,5.93,35.4,27.2,3.4
2017-11-01 15:00:00,87,0,992.5,5.44,32.4,40,4.1
2017-11-01 12:00:00,75,0,994.2,2.62,29.8,49.6,4.3
2017-11-01 09:00:00,75,0,992.9,0.06,23.8,83.2,2.9
2017-11-01 06:00:00,63,0,991.5,0,24.2,80,4.3
2017-11-01 03:00:00,72,0,991.6,0,25,73.6,5.8
2017-11-01 00:00:00,60,0,991.6,0,27.1,56,7.5
2017-10-31 21:00:00,93,0,988,5.78,35,25.6,4.7
2017-10-31 18:00:00,93,0,988,5.78,35,25.6,4.7
2017-10-31 15:00:00,75,0,991.1,5.15,33.7,32,5.3
2017-10-31 12:00:00,90,0,993.4,2.29,28.4,51.2,5.2
2017-10-31 09:00:00,87,0,992,0.04,24.8,70.4,3.6
2017-10-31 06:00:00,78,0,989.7,0,24.2,80,5.6
2017-10-31 03:00:00,72,0,990.5,0,25.1,75.2,7.7
2017-10-31 00:00:00,63,0,990.5,0,26.7,59.2,8.2
2017-10-30 21:00:00,69,0,987.6,1.09,31.6,41.6,5.8
2017-10-30 18:00:00,81,0,986.7,5.58,36.1,27.2,4.4
2017-10-30 15:00:00,87,0,989.6,7.02,34.5,32,4.9
2017-10-30 12:00:00,96,0,992.3,3.62,29.7,48,5.5
2017-10-30 09:00:00,69,0,991.3,0.14,24.9,75.2,5.2
2017-10-30 06:00:00,66,0,989.7,0,24.6,78.4,5.6
2017-10-30 03:00:00,48,0,989.8,0,25.2,75.2,6.1
2017-10-30 00:00:00,63,0,990,0,27.3,62.4,7.3
2017-10-29 21:00:00,84,0,987.3,1.34,34.7,27.2,3.9
2017-10-29 18:00:00,99,0,987.4,6.53,36.9,25.6,3.7
2017-10-29 15:00:00,84,0,990.2,6.83,33.9,33.6,5.2
2017-10-29 12:00:00,90,0,993.3,3.34,30.1,48,4.1
2017-10-29 09:00:00,72,0,992.8,0.14,25.1,73.6,3.1
2017-10-29 06:00:00,69,0,991.8,0,24.6,80,5.2
2017-10-29 03:00:00,66,0,991.4,0,25.4,73.6,5.9
2017-10-29 00:00:00,66,0,991.8,0,27.3,56,7.5
2017-10-28 21:00:00,90,0,989.3,1.09,33.6,30.4,5.1
2017-10-28 18:00:00,96,0,988.9,5.95,35.2,28.8,5.1
2017-10-28 15:00:00,99,0,991.3,6.17,33.6,32,5.5
2017-10-28 12:00:00,75,0,993.1,0.11,24.7,65.6,3.9
2017-10-28 09:00:00,75,0,993.1,0.11,24.7,65.6,3.9
2017-10-28 06:00:00,75,0,991.3,0,25.2,60.8,5.4
2017-10-28 03:00:00,66,0,991.8,0,26,67.2,6.4
2017-10-28 00:00:00,66,0,992.3,0,27.4,59.2,7.6
2017-10-27 21:00:00,108,0,989.6,1.03,34.4,27.2,5.7
2017-10-27 18:00:00,102,0,988.8,6.07,35.6,27.2,5.9
2017-10-27 15:00:00,111,0,991.8,6.43,33.7,32,6
2017-10-27 12:00:00,99,0,994.4,3.89,30.9,41.6,4.7
2017-10-27 09:00:00,66,0,993.1,0.1,24.3,73.6,3.4
2017-10-27 06:00:00,66,0,991.1,0,24.6,76.8,5
2017-10-27 03:00:00,63,0,991.1,0,25.8,73.6,5.8
2017-10-27 00:00:00,72,0,992.3,0,27.4,62.4,6.2
2017-10-26 21:00:00,111,0,990,1.15,33.8,27.2,5.5
2017-10-26 18:00:00,105,0,989.5,4.76,35.2,25.6,6
2017-10-26 15:00:00,132,0,991.5,6.6,35.4,25.6,5
