,0
0,2.5017563033029457
1,1.7696050636119165
2,1.713909068241914
3,1.5004551154044818
4,1.4039918510430074
5,1.3101920215943132
6,1.2391302271131848
7,1.3985725960397848
8,1.4228203248002016
9,1.3619089623546319
10,1.7336369800721878
11,1.6601879544443754
12,1.5970004919230696
13,1.5598516508477396
14,1.6231505558935662
15,1.5910875191439604
16,1.6330205427943942
17,1.688968420989747
18,1.664582704505703
19,1.7107529253991167
20,1.7839975366568022
21,1.7742594068231627
22,1.7416192808345714
23,1.7055341378874647
24,1.6756255915984586
25,1.7136899020387777
26,1.7257253328650062
27,1.7105502165974478
28,1.730146452453053
29,1.7022448743054828
